#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Sep 07 12:30:10 EDT 2020,0,0,UtilityClassSuite, , ,DerivedSafetyTest- GivenSafetyTest- InterpolatedSafetyTest- PrintGeneratedCombinationTest- SocialDistanceClassRegistryProvided- SocialDistanceUtilityProvided- ,BasicMainTest SocialDistanceBasicMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided ,
1,Mon Sep 07 12:30:25 EDT 2020,0,0,MainClassSuite, , ,BasicMainTest+ DerivedSafetyTest GivenSafetyTest InterpolatedSafetyTest PrintGeneratedCombinationTest SocialDistanceBasicMainProvided+ SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided ,
2,Mon Sep 07 12:30:27 EDT 2020,0,0,StyleSuite, , ,BasicMainTest DerivedSafetyTest GivenSafetyTest InterpolatedSafetyTest PrintGeneratedCombinationTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceNoCheckstyleWarnings+ SocialDistanceUtilityProvided ,SocialDistanceUtilityTesterMainProvided ,
